,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,female,,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,71,71,74
1,female,group C,some college,standard,,married,sometimes,yes,0,,5 - 10,69,90,88
2,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,87,93,91
3,male,group A,associate's degree,free/reduced,none,married,never,no,1,,5 - 10,45,56,42
4,male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,5 - 10,76,78,75
5,female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,5 - 10,73,84,79
6,female,group B,some college,standard,completed,widowed,never,no,1,private,5 - 10,85,93,89
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,41,43,39
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68
9,female,group B,high school,free/reduced,none,married,regularly,yes,,private,< 5,37,59,50
10,male,group C,associate's degree,standard,none,,sometimes,yes,1,private,5 - 10,58,54,52
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,5 - 10,40,52,43
12,female,group B,high school,standard,none,married,regularly,no,1,private,5 - 10,66,82,74
13,male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,48,53,58
15,female,group C,some high school,standard,none,married,sometimes,yes,0,private,,69,75,78
16,male,group C,high school,standard,,married,sometimes,yes,0,school_bus,5 - 10,88,89,86
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,5 - 10,18,32,28
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,5 - 10,46,42,47
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,50,56,58
20,male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,5 - 10,66,69,63
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,5 - 10,65,75,70
22,male,group D,,standard,none,married,never,yes,5,,5 - 10,42,53,51
23,female,group C,some high school,standard,none,divorced,never,no,3,,5 - 10,66,71,71
24,male,group D,,free/reduced,completed,married,sometimes,yes,2,school_bus,5 - 10,74,71,80
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,5 - 10,75,76,76
26,male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,66,53,53
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,69,70,76
28,male,group C,high school,standard,none,married,sometimes,no,1,private,5 - 10,70,70,65
30,female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,66,72,72
31,female,group B,some college,standard,none,single,sometimes,yes,5,,5 - 10,63,65,61
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,5 - 10,56,73,66
33,male,,some college,standard,none,married,sometimes,no,2,private,5 - 10,40,42,38
34,male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,,97,87,82
35,male,group E,associate's degree,standard,completed,single,sometimes,no,,school_bus,5 - 10,81,81,79
36,female,group D,associate's degree,standard,none,married,regularly,no,2,private,5 - 10,76,82,85
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,5 - 10,51,64,60
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,5 - 10,77,91,90
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,5 - 10,58,56,58
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,5 - 10,53,60,52
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1,,5 - 10,59,74,69
43,male,group B,some college,free/reduced,,married,regularly,yes,3,school_bus,5 - 10,60,65,67
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,48,55,52
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,63,53,55
47,female,group C,high school,standard,none,married,regularly,yes,,private,5 - 10,67,72,77
49,male,group C,high school,standard,completed,married,sometimes,,3,,5 - 10,82,84,82
50,male,group E,some college,standard,none,married,,no,3,school_bus,> 10,54,55,48
51,male,,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,76,68,68
52,male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,56,45,43
53,male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,5 - 10,88,78,75
54,female,,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,75,86,90
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,5 - 10,33,41,43
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87
